pub_date	title	venue	citation	url_slug	paper_url
25/11/2020	Physics-informed neural networks for myocardial perfusion MRI quantification	arXiv preprint	"Rudolf L.M. van Herten, Amedeo Chiribiri, Marcel Breeuwer, Mitko Veta, <b>Cian M. Scannell</b>."	MyoPINN	http://cianmscannell.github.io/files/MyoPINN.pdf 
25/11/2020	High-Resolution Cardiac Magnetic Resonance Imaging Techniques for the Identification of Coronary Microvascular Dysfunction	JACC: Cardiovascular Imaging	"Haseeb Rahman, <b>Cian M.Scannell</b>, Ozan M. Demir, Matthew Ryan, Hannah McConkey, Howard Ellis, Pier Giorgio Masci, Divaka Perera, Amedeo Chiribiri."	HighResCMRMVD	http://cianmscannell.github.io/files/HighResCMRMVD.pdf 
16/10/2020	Automatic Myocardial Disease Prediction From Delayed-Enhancement Cardiac MRI and Clinical Information	STACOM Workshop	"Ana Lourenco, Eric Kerfoot, Irina Grigorescu, <b>Cian M. Scannell</b>, Marta Varela, Teresa M Correia."	AutoMyoDiseasePredEMIDEC	http://cianmscannell.github.io/files/AutoMyoDiseasePredEMIDEC.pdf 
26/08/2020	Domain-Adversarial Learning for Multi-Centre, Multi-Vendor, and Multi-Disease Cardiac MR Image Segmentation	STACOM Workshop	"<b>Cian M. Scannell</b>, Amedeo Chiribiri, Mitko Veta."	DACMRMnMs	http://cianmscannell.github.io/files/DACMRMnMs.pdf 
29/07/2020	Feasibility of free-breathing quantitative myocardial perfusion using multi-echo Dixon magnetic resonance imaging	Scientific Reports	"<b>Cian M. Scannell</b>, Teresa Correia, Adriana D. M. Villa, Torben Schneider, Jack Lee, Marcel Breeuwer, Amedeo Chiribiri, Markus Henningsson"	DixonSciRep	http://cianmscannell.github.io/files/DixonSciRep.pdf 
10/06/2020	Optimal Use of Vasodilators for Diagnosis of Microvascular Angina in the Cardiac Catheterization Laboratory	Circulation: Cardiovascular Interventions	"Haseeb Rahman, Ozan M. Demir, Matthew Ryan, Hannah McConkey, <b>Cian Scannell</b>, Howard Ellis, Andrew Webb, Amedeo Chiribiri, Divaka Perera"	OptimalUseofVasoCircCI	http://cianmscannell.github.io/files/OptimalUseofVasoCircCI.pdf 
01/02/2020	Hierarchical Bayesian myocardial perfusion quantification	Medical Image Analysis	"<b>Cian M. Scannell</b>, Amedeo Chiribiri, Adriana DM Villa, Marcel Breeuwer, Jack Lee."	HierarchicalBayesianMedIA	http://cianmscannell.github.io/files/HierarchicalBayesianMedIA.pdf 
11/11/2019	Deep-Learning-Based Preprocessing for Quantitative Myocardial Perfusion MRI	Journal of Magnetic Resonance Imaging	"<b>Cian M. Scannell</b>, Mitko Veta, Adriana D.M. Villa, Eva C. Sammut, Jack Lee, Marcel Breeuwer, Amedeo Chiribiri."	DeepLearningBasedPreProcessJMRI	http://cianmscannell.github.io/files/DeepLearningBasedPreProcessJMRI.pdf
11/11/2019	Coronary Microvascular Dysfunction Is Associated With Myocardial Ischemia and Abnormal Coronary Perfusion During Exercise	Circulation	"Haseeb Rahman, Matthew Ryan, Matthew Lumley, Bhavik Modi, Hannah McConkey, Howard Ellis, <b>Cian M. Scannell</b>, Brian Clapp, Michael Marber, Andrew Webb, Amedeo Chiribiri, Divaka Perera."	CoronaryMicrovascularDysfunctionCirc	http://cianmscannell.github.io/files/CoronaryMicrovascularDysfunctionCirc.pdf 
27/07/2019	Deep learning-based prediction of kinetic parameters from myocardial perfusion MRI	Medical Imaging with Deep Learning	"<b>Cian M. Scannell</b>, Piet van den Bosch, Amedeo Chiribiri, Jack Lee, Marcel Breeuwer, Mitko Veta."	 DeepLearningBasedPredictionMIDL	http://cianmscannell.github.io/files/DeepLearningBasedPredictionMIDL.pdf 
01/02/2019	Robust Non-Rigid Motion Compensation of Free-Breathing Myocardial Perfusion MRI Data	IEEE Transactions on Medical Imaging	"<b>Cian M. Scannell</b>, Adriana DM Villa, Jack Lee, Marcel Breeuwer, Amedeo Chiribiri."	RobustNonRigidIEEETMI	http://cianmscannell.github.io/files/RobustNonRigidIEEETMI.pdf
19/11/2018	Importance of Operator Training and Rest Perfusion on the Diagnostic Accuracy of Stress Perfusion Cardiovascular Magnetic Resonance	Journal of Cardiovascular Magnetic Resonance	"Adriana D. M. Villa, Laura Corsinovi, Ioannis Ntalas, Xenios Milidonis, <b>Cian M. Scannell</b>, Gabriella Di Giovine, Nicholas Child, Catarina Ferreira, Muhummad Sohaib Nazir, Julia Karady, Esmeralda Eshja, Viola De Francesco, Nuno Bettencourt, Andreas Schuster, Tevfik F. Ismail, Reza Razavi, Amedeo Chiribiri."	ImportanceOfOperatorJCMR	http://cianmscannell.github.io/files/ImportanceOfOperatorJCMR.pdf 
